from,to,vote,relationship,year
Unai Simon Mendibil,Lamine Yamal,5,1,2025
Unai Simon Mendibil,Pedri,3,1,2025
Unai Simon Mendibil,Nuno Mendes,1,4,2025
Alvaro Morata Martin,Rodri,5,1,2023
Alvaro Morata Martin,Lionel Messi,3,4,2023
Alvaro Morata Martin,Kylian Mbappé,1,4,2023
Alvaro Morata Martin,Dani Carvajal,5,1,2024
Alvaro Morata Martin,Rodri,3,1,2024
Alvaro Morata Martin,Lamine Yamal,1,1,2024
Luis De La Fuente Castillo,Pedri,5,1,2025
Luis De La Fuente Castillo,Lamine Yamal,3,1,2025
Luis De La Fuente Castillo,Kylian Mbappé,1,4,2025
Luis De La Fuente Castillo,Rodri,5,1,2023
Luis De La Fuente Castillo,Erling Haaland,3,4,2023
Luis De La Fuente Castillo,Lionel Messi,1,4,2023
Luis De La Fuente Castillo,Dani Carvajal,5,1,2024
Luis De La Fuente Castillo,Rodri,3,1,2024
Luis De La Fuente Castillo,Lamine Yamal,1,1,2024
Juan Ignacio Gallardo,Ousmane Dembélé,5,4,2025
Juan Ignacio Gallardo,Lamine Yamal,3,1,2025
Juan Ignacio Gallardo,Kylian Mbappé,1,4,2025
Juan Ignacio Gallardo,Rodri,5,1,2023
Juan Ignacio Gallardo,Erling Haaland,3,4,2023
Juan Ignacio Gallardo,Lionel Messi,1,4,2023
Juan Ignacio Gallardo,Dani Carvajal,5,1,2024
Juan Ignacio Gallardo,Vinícius Jr,3,4,2024
Juan Ignacio Gallardo,Toni Kroos,1,4,2024
Lionel Messi,Ousmane Dembélé,5,4,2025
Lionel Messi,Kylian Mbappé,3,4,2025
Lionel Messi,Lamine Yamal,1,4,2025
Lionel Messi,Erling Haaland,5,4,2023
Lionel Messi,Kylian Mbappé,3,2,2023
Lionel Messi,Julián Álvarez,1,1,2023
Lionel Messi,Lamine Yamal,5,4,2024
Lionel Messi,Kylian Mbappé,3,4,2024
Lionel Messi,Vinícius Jr,1,4,2024
Lionel Scaloni,Kylian Mbappé,5,4,2025
Lionel Scaloni,Pedri,3,4,2025
Lionel Scaloni,Lamine Yamal,1,4,2025
Lionel Scaloni,Lionel Messi,5,1,2023
Lionel Scaloni,Julián Álvarez,3,1,2023
Lionel Scaloni,Kylian Mbappé,1,4,2023
Lionel Scaloni,Lionel Messi,5,1,2024
Lionel Scaloni,Rodri,3,4,2024
Lionel Scaloni,Jude Bellingham,1,4,2024
Claudio Mauri,Lamine Yamal,5,4,2025
Claudio Mauri,Achraf Hakimi,3,4,2025
Claudio Mauri,Cole Palmer,1,4,2025
Claudio Mauri,İlkay Gündoğan,5,4,2023
Claudio Mauri,Erling Haaland,3,4,2023
Claudio Mauri,Lionel Messi,1,1,2023
Claudio Mauri,Rodri,5,4,2024
Claudio Mauri,Lamine Yamal,3,4,2024
Claudio Mauri,Toni Kroos,1,4,2024
Didier Deschamps,Ousmane Dembélé,5,1,2025
Didier Deschamps,Kylian Mbappé,3,1,2025
Didier Deschamps,Achraf Hakimi,1,4,2025
Didier Deschamps,Kylian Mbappé,5,1,2023
Didier Deschamps,Erling Haaland,3,4,2023
Didier Deschamps,Lionel Messi,1,4,2023
Didier Deschamps,Vinícius Jr,5,4,2024
Didier Deschamps,Kylian Mbappé,3,1,2024
Didier Deschamps,Rodri,1,4,2024
Cyrille De La Morinerie,Ousmane Dembélé,5,1,2025
Cyrille De La Morinerie,Lamine Yamal,3,4,2025
Cyrille De La Morinerie,Vitinha,1,4,2025
Cyrille De La Morinerie,Erling Haaland,5,4,2023
Cyrille De La Morinerie,Kevin De Bruyne,3,4,2023
Cyrille De La Morinerie,Kylian Mbappé,1,1,2023
Cyrille De La Morinerie,Vinícius Jr,5,4,2024
Cyrille De La Morinerie,Rodri,3,4,2024
Cyrille De La Morinerie,Jude Bellingham,1,4,2024
Kylian Mbappé,Lionel Messi,5,4,2023
Kylian Mbappé,Erling Haaland,3,4,2023
Kylian Mbappé,Kevin De Bruyne,1,4,2023
Harry Kane,Ousmane Dembélé,5,4,2025
Harry Kane,Vitinha,3,4,2025
Harry Kane,Mohamed Salah,1,4,2025
Harry Kane,Lionel Messi,5,4,2023
Harry Kane,Erling Haaland,3,4,2023
Harry Kane,Bernardo Silva,1,4,2023
Harry Kane,Rodri,5,4,2024
Harry Kane,Jude Bellingham,3,1,2024
Harry Kane,Vinícius Jr,1,4,2024
Thomas Tuchel,Harry Kane,5,1,2025
Thomas Tuchel,Cole Palmer,3,1,2025
Thomas Tuchel,Ousmane Dembélé,1,4,2025
Lee Carsley,Jude Bellingham,5,1,2024
Lee Carsley,Rodri,3,4,2024
Lee Carsley,Lamine Yamal,1,4,2024
Gareth Southgate,Erling Haaland,5,4,2023
Gareth Southgate,Rodri,3,4,2023
Gareth Southgate,Bernardo Silva,1,4,2023
John Cross,Ousmane Dembélé,5,4,2025
John Cross,Lamine Yamal,3,4,2025
John Cross,Vitinha,1,4,2025
John Cross,Erling Haaland,5,4,2023
John Cross,Rodri,3,4,2023
John Cross,Lionel Messi,1,4,2023
John Cross,Rodri,5,4,2024
John Cross,Vinícius Jr,3,4,2024
John Cross,Jude Bellingham,1,1,2024
Marcos Aoás Corrêa,Ousmane Dembélé,5,2,2025
Marcos Aoás Corrêa,Raphinha,3,1,2025
Marcos Aoás Corrêa,Achraf Hakimi,1,2,2025
Carlo Ancelotti,Ousmane Dembélé,5,4,2025
Carlo Ancelotti,Raphinha,3,1,2025
Carlo Ancelotti,Kylian Mbappé,1,4,2025
Carlos Eduardo Mansur,Lamine Yamal,5,4,2025
Carlos Eduardo Mansur,Raphinha,3,1,2025
Carlos Eduardo Mansur,Ousmane Dembélé,1,4,2025
Carlos Eduardo Mansur,Vinícius Jr,5,1,2024
Carlos Eduardo Mansur,Jude Bellingham,3,4,2024
Carlos Eduardo Mansur,Rodri,1,4,2024
Danilo Luiz Da Silva,Vinícius Jr,5,1,2024
Danilo Luiz Da Silva,Jude Bellingham,3,4,2024
Danilo Luiz Da Silva,Lamine Yamal,1,4,2024
Dorival Silvestre Júnior,Vinícius Jr,5,1,2024
Dorival Silvestre Júnior,Jude Bellingham,3,4,2024
Dorival Silvestre Júnior,Lamine Yamal,1,4,2024
Carlos Casemiro,Erling Haaland,5,4,2023
Carlos Casemiro,Lionel Messi,3,4,2023
Carlos Casemiro,Kylian Mbappé,1,4,2023
Fernando Diniz,Lionel Messi,5,4,2023
Fernando Diniz,Kevin De Bruyne,3,4,2023
Fernando Diniz,Erling Haaland,1,4,2023
Martín Fernandez,Erling Haaland,5,4,2023
Martín Fernandez,Rodri,3,4,2023
Martín Fernandez,Bernardo Silva,1,4,2023
Bernardo Silva,Vitinha,5,1,2025
Bernardo Silva,Nuno Mendes,3,1,2025
Bernardo Silva,Ousmane Dembélé,1,4,2025
Bernardo Silva,Rodri,5,2,2024
Bernardo Silva,Vinícius Jr,3,4,2024
Bernardo Silva,Erling Haaland,1,4,2024
Roberto Martinez,Nuno Mendes,5,1,2025
Roberto Martinez,Vitinha,3,1,2025
Roberto Martinez,Lamine Yamal,1,4,2025
Roberto Martinez,Marcelo Brozović,5,4,2023
Roberto Martinez,Bernardo Silva,3,1,2023
Roberto Martinez,Lionel Messi,1,4,2023
Roberto Martinez,Dani Carvajal,5,4,2024
Roberto Martinez,Lamine Yamal,3,4,2024
Roberto Martinez,Vinícius Jr,1,4,2024
Vítor Serpa,Ousmane Dembélé,5,4,2025
Vítor Serpa,Pedri,3,4,2025
Vítor Serpa,Nuno Mendes,1,1,2025
Vítor Serpa,Erling Haaland,5,4,2023
Vítor Serpa,Kevin De Bruyne,3,4,2023
Vítor Serpa,Bernardo Silva,1,1,2023
Vítor Serpa,Rodri,5,4,2024
Vítor Serpa,Lamine Yamal,3,4,2024
Vítor Serpa,Vinícius Jr,1,4,2024
Kepler Ferreira,Bernardo Silva,5,1,2023
Kepler Ferreira,Erling Haaland,3,4,2023
Kepler Ferreira,Victor Osimhen,1,4,2023
Virgil Van Dijk,Mohamed Salah,5,2,2025
Virgil Van Dijk,Ousmane Dembélé,3,4,2025
Virgil Van Dijk,Nuno Mendes,1,4,2025
Virgil Van Dijk,Lionel Messi,5,4,2023
Virgil Van Dijk,Erling Haaland,3,4,2023
Virgil Van Dijk,Kevin De Bruyne,1,4,2023
Virgil Van Dijk,Vinícius Jr,5,4,2024
Virgil Van Dijk,Erling Haaland,3,4,2024
Virgil Van Dijk,Rodri,1,4,2024
Ronald Koeman,Ousmane Dembélé,5,4,2025
Ronald Koeman,Vitinha,3,4,2025
Ronald Koeman,Pedri,1,4,2025
Ronald Koeman,Erling Haaland,5,4,2023
Ronald Koeman,Kylian Mbappé,3,4,2023
Ronald Koeman,Lionel Messi,1,4,2023
Ronald Koeman,Rodri,5,4,2024
