id,role,national team,club_2025,club_2024,club_2023,nationality,continent
Riyad Mahrez,1,Algeria,Al-Ahli SFC,Al-Ahli SFC,Manchester City,Algeria,Africa
Lionel Messi,5,Argentina,Inter Miami CF,Inter Miami CF,Inter Miami CF,Argentina,South America
Mathew Ryan,1,Australia,UD Levante,AZ Alkmaar,AZ Alkmaar,Australia,Australia
David Alaba,1,Austria,Real Madrid,Real Madrid,Real Madrid,Austria,Europe
Youri Tielemans,1,Belgium,Aston Villa,Aston Villa,Aston Villa,Belgium,Europe
Marcos Aoás Corrêa,1,Brazil,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Brazil,South America
Alphonso Davies,1,Canada,FC Bayern München,FC Bayern München,FC Bayern München,Canada,North America
James Rodríguez,1,Colombia,Club Leon FC,Rayo Vallecano,FC Sao Paulo,Colombia,South America
Luka Modric,1,Croatia,AC Mailand,Real Madrid,Real Madrid,Croatia,Europe
Tomas Soucek,1,Czechia,West Ham United,West Ham United,West Ham United,Czechia,Europe
Pierre Emile Højbjerg,1,Denmark,Olympique Marseille,Olympique Marseille,Tottenham Hotspur,Denmark,Europe
Enner Valencia,1,Ecuador,CF Pachuca,SC Internacional,SC Internacional,Ecuador,South America
Mohamed Salah,1,Egypt,FC Liverpool,FC Liverpool,FC Liverpool,Egypt,Africa
Harry Kane,1,England,FC Bayern München,FC Bayern München,FC Bayern München,England,Europe
Joshua Kimmich,1,Germany,FC Bayern München,FC Bayern München,FC Bayern München,Germany,Europe
Anastasios Bakasetas,1,Greece,Panathinaikos Athen,Panathinaikos Athen,Trabzonspor,Greece,Europe
Dominik Szoboszlai,1,Hungary,FC Liverpool,FC Liverpool,FC Liverpool,Hungary,Europe
Chancel Mbemba,1,Congo DR,LOSC Lille,Olympique Marseille,Olympique Marseille,Congo DR,Africa
Gianluigi Donnarumma,1,Italy,Manchester City,Paris Saint-Germain,Paris Saint-Germain,Italy,Europe
Wataru Endo,1,Japan,FC Liverpool,FC Liverpool,FC Liverpool,Japan,Asia
Edson Omar Alvarez Velazquez,1,Mexico,Fenerbahce,West Ham United,West Ham United,Mexico,North America
Achraf Hakimi,5,Morocco,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Morocco,Africa
Virgil Van Dijk,1,Netherlands,FC Liverpool,FC Liverpool,FC Liverpool,Netherlands,Europe
William Ekong,1,Nigeria,Al-Kholood Club,Al-Kholood Club,PAOK Thessaloniki,Nigeria,Africa
Martin Odegaard,1,Norway,FC Arsenal,FC Arsenal,FC Arsenal,Norway,Europe
Anibal Godoy,1,Panama,San Diego FC,Nashville SC,Nashville SC,Panama,South America
Gustavo Gomez,1,Paraguay,Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras,Paraguay,South America
Robert Lewandowski,1,Poland,FC Barcelona,FC Barcelona,FC Barcelona,Poland,Europe
