from,to,vote,relationship,year,weight
Unai Simon Mendibil,Lamine Yamal,5,1,2025,NA
Unai Simon Mendibil,Pedri,3,1,2025,NA
Unai Simon Mendibil,Nuno Mendes,1,4,2025,NA
Alvaro Morata Martin,Rodri,5,1,2023,NA
Alvaro Morata Martin,Lionel Messi,3,4,2023,NA
Alvaro Morata Martin,Kylian Mbappé,1,4,2023,NA
Alvaro Morata Martin,Dani Carvajal,5,1,2024,NA
Alvaro Morata Martin,Rodri,3,1,2024,NA
Alvaro Morata Martin,Lamine Yamal,1,1,2024,NA
Luis De La Fuente Castillo,Pedri,5,1,2025,NA
Luis De La Fuente Castillo,Lamine Yamal,3,1,2025,NA
Luis De La Fuente Castillo,Kylian Mbappé,1,4,2025,NA
Luis De La Fuente Castillo,Rodri,5,1,2023,NA
Luis De La Fuente Castillo,Erling Haaland,3,4,2023,NA
Luis De La Fuente Castillo,Lionel Messi,1,4,2023,NA
Luis De La Fuente Castillo,Dani Carvajal,5,1,2024,NA
Luis De La Fuente Castillo,Rodri,3,1,2024,NA
Luis De La Fuente Castillo,Lamine Yamal,1,1,2024,NA
Juan Ignacio Gallardo,Ousmane Dembélé,5,4,2025,NA
Juan Ignacio Gallardo,Lamine Yamal,3,1,2025,NA
Juan Ignacio Gallardo,Kylian Mbappé,1,4,2025,NA
Juan Ignacio Gallardo,Rodri,5,1,2023,NA
Juan Ignacio Gallardo,Erling Haaland,3,4,2023,NA
Juan Ignacio Gallardo,Lionel Messi,1,4,2023,NA
Juan Ignacio Gallardo,Dani Carvajal,5,1,2024,NA
Juan Ignacio Gallardo,Vinícius Jr,3,4,2024,NA
Juan Ignacio Gallardo,Toni Kroos,1,4,2024,NA
Lionel Messi,Ousmane Dembélé,5,4,2025,NA
Lionel Messi,Kylian Mbappé,3,4,2025,NA
Lionel Messi,Lamine Yamal,1,4,2025,NA
Lionel Messi,Erling Haaland,5,4,2023,NA
Lionel Messi,Kylian Mbappé,3,2,2023,NA
Lionel Messi,Julián Álvarez,1,1,2023,NA
Lionel Messi,Lamine Yamal,5,4,2024,NA
Lionel Messi,Kylian Mbappé,3,4,2024,NA
Lionel Messi,Vinícius Jr,1,4,2024,NA
Lionel Scaloni,Kylian Mbappé,5,4,2025,NA
Lionel Scaloni,Pedri,3,4,2025,NA
Lionel Scaloni,Lamine Yamal,1,4,2025,NA
Lionel Scaloni,Lionel Messi,5,1,2023,NA
Lionel Scaloni,Julián Álvarez,3,1,2023,NA
Lionel Scaloni,Kylian Mbappé,1,4,2023,NA
Lionel Scaloni,Lionel Messi,5,1,2024,NA
Lionel Scaloni,Rodri,3,4,2024,NA
Lionel Scaloni,Jude Bellingham,1,4,2024,NA
Claudio Mauri,Lamine Yamal,5,4,2025,NA
Claudio Mauri,Achraf Hakimi,3,4,2025,NA
Claudio Mauri,Cole Palmer,1,4,2025,NA
Claudio Mauri,İlkay Gündoğan,5,4,2023,NA
Claudio Mauri,Erling Haaland,3,4,2023,NA
