id,role,national team,club_2025,club_2024,club_2023,nationality
Riyad Mahrez,1,Algeria,Al-Ahli SFC,Al-Ahli SFC,Manchester City,Algeria
Lionel Messi,5,Argentina,Inter Miami CF,Inter Miami CF,Inter Miami CF,Argentina
Mathew Ryan,1,Australia,UD Levante,AZ Alkmaar,AZ Alkmaar,Australia
David Alaba,1,Austria,Real Madrid,Real Madrid,Real Madrid,Austria
Youri Tielemans,1,Belgium,Aston Villa,Aston Villa,Aston Villa,Belgium
Marcos Aoás Corrêa,1,Brazil,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Brazil
Alphonso Davies,1,Canada,FC Bayern München,FC Bayern München,FC Bayern München,Canada
James Rodríguez,1,Colombia,Club Leon FC,Rayo Vallecano,FC Sao Paulo,Colombia
Luka Modric,1,Croatia,AC Mailand,Real Madrid,Real Madrid,Croatia
Tomas Soucek,1,Czechia,West Ham United,West Ham United,West Ham United,Czechia
Pierre Emile Højbjerg,1,Denmark,Olympique Marseille,Olympique Marseille,Tottenham Hotspur,Denmark
Enner Valencia,1,Ecuador,CF Pachuca,SC Internacional,SC Internacional,Ecuador
Mohamed Salah,1,Egypt,FC Liverpool,FC Liverpool,FC Liverpool,Egypt
Harry Kane,1,England,FC Bayern München,FC Bayern München,FC Bayern München,England
Joshua Kimmich,1,Germany,FC Bayern München,FC Bayern München,FC Bayern München,Germany
Anastasios Bakasetas,1,Greece,Panathinaikos Athen,Panathinaikos Athen,Trabzonspor,Greece
Dominik Szoboszlai,1,Hungary,FC Liverpool,FC Liverpool,FC Liverpool,Hungary
Chancel Mbemba,1,Congo DR,LOSC Lille,Olympique Marseille,Olympique Marseille,Congo DR
Gianluigi Donnarumma,1,Italy,Manchester City,Paris Saint-Germain,Paris Saint-Germain,Italy
Wataru Endo,1,Japan,FC Liverpool,FC Liverpool,FC Liverpool,Japan
Edson Omar Alvarez Velazquez,1,Mexico,Fenerbahce,West Ham United,West Ham United,Mexico
Achraf Hakimi,5,Morocco,Paris Saint-Germain,Paris Saint-Germain,Paris Saint-Germain,Morocco
Virgil Van Dijk,1,Netherlands,FC Liverpool,FC Liverpool,FC Liverpool,Netherlands
William Ekong,1,Nigeria,Al-Kholood Club,Al-Kholood Club,PAOK Thessaloniki,Nigeria
Martin Odegaard,1,Norway,FC Arsenal,FC Arsenal,FC Arsenal,Norway
Anibal Godoy,1,Panama,San Diego FC,Nashville SC,Nashville SC,Panama
Gustavo Gomez,1,Paraguay,Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras,Sociedade Esportiva Palmeiras,Paraguay
Robert Lewandowski,1,Poland,FC Barcelona,FC Barcelona,FC Barcelona,Poland
Bernardo Silva,5,Portugal,Manchester City,Manchester City,Manchester City,Portugal
Ianis Hagi,1,Romania,Alanyaspor,Rangers FC,Deportivo Alaves,Romania
Aleksandr Golovin,1,Russia,AS Monaco,AS Monaco,AS Monaco,Russia
Kalidou Koulibaly,1,Senegal,Al-Hilal SFC,Al-Hilal SFC,Al-Hilal SFC,Senegal
Aleksandar Mitrovic,1,Serbia,Al-Rayyan SC,Al-Hilal SFC,FC Fulham,Serbia
Milan Škriniar,1,Slovakia,Fenerbahce,Paris Saint-Germain,Paris Saint-Germain,Slovakia
Unai Simon Mendibil,1,Spain,Athletic Bilbao,Athletic Bilbao,Athletic Bilbao,Spain
Victor Lindelof,1,Sweden,Aston Villa,Manchester United,Manchester United,Sweden
Granit Xhaka,1,Switzerland,AFC Sunderland,Bayer 04 Leverkusen,Bayer 04 Leverkusen,Switzerland
Ferjani Sassi,1,Tunisia,Al-Gharafa SC,Al-Gharafa SC,Al-Gharafa SC,Tunisia
Hakan Calhanoglu,1,Türkiye,Inter Mailand,Inter Mailand,Inter Mailand,Türkiye
Mykola Matvienko,1,Ukraine,Shakhtar Donetsk,Shakhtar Donetsk,Shakhtar Donetsk,Ukraine
Jose Gimenez,1,Uruguay,Atlético Madrid,Atlético Madrid,Atlético Madrid,Uruguay
Tim Ream,1,USA,Charlotte FC,FC Fulham,FC Fulham,USA
Salomón Rondón,1,Venezuela,Real Oviedo,CF Pachuca,CA River Plate,Venezuela
Aaron Ramsey,1,Wales,UNAM Pumas,Cardiff City,Cardiff City,Wales
Vincent Aboubakar,1,Cameroon,Neftchi PFK,Hatayspor,Besiktas JK,Cameroon
Kylian Mbappe,5,France,Real Madrid,Real Madrid,Paris Saint-Germain,France
Alireza Jahanbakhsh,1,IR Iran,FCV Dender EH,SC Heerenveen,Feyernoord Rotterdam,IR Iran
Heung Min Son,1,Korea Republic,LAFC,Tottenham Hotspur,Tottenham Hotspur,Korea Republic
