id;name;role;country;club
1;Sharif Mukhammad;1;Afghanistan;SKA Rostov-na-Donu
2;Berat Djimsiti;1;Albania;Atalanta BC
3;Riyad Mahrez;1;Algeria;Al-Ahli SFC
4;Roy Ledoux;1;American Samoa;Pago Youth
5;Marc Pujol Pons;1;Andorra;AC Escaldes
6;Fredy Ribeiro;1;Angola;Bodrum FK
7;Germain Hughes;1;Anguilla;Roaring Lions FC
8;Luther Wildin;1;Antigua and Barbuda;Stevenage FC
9;Lionel Messi;1;Argentina;Inter Miami CF
10;Esuard Spertsian;1;Armenia;FK Krasnodar
11;Matthew Robert Lentink;1;Aruba;GOES
12;Mathew Ryan;1;Australia;UD Levante
13;David Alaba;1;Austria;Real Madrid
14;Emin Makhmudov;1;Azerbaijan;Neftchi Baku
15;Vance Wheaton;1;Bahamas;Westside SC Renegades FC
16;Sayed Dhiya;1;Bahrain;Al-Khaldiya SC
17;Jamal Bhuyan;1;Bangladesh;Brothers Union
18;Andre Applewhaite;1;Barbados;Weymouth Wales
19;Alexander Martynovich;1;Belarus;Kairat Almaty
20;Youri Tielemans;1;Belgium;Aston Villa
21;Steve Mounie;1;Benin;Alanyaspor
22;Dante Leverock;1;Bermuda;Dandy Town FC
23;Nima Wangdi;1;Bhutan;Paro FC
24;Luis Haquin;1;Bolivia;Al-Tai
25;Edin Dzeko;1;Bosnia and Herzegovina;AC Florenz
26;Kabelo Seakanyeng;1;Botswana;MAS Fès
27;Marcos Aoás Corrêa;1;Brazil;Paris Saint-Germain
28;Tsharne Gallimore;1;British Virgin Islands;Enfield Town
29;Muhammad Azwan Ali Rahman;1;Brunei Darussalam;DPMM FC
30;Kiril Despodov;1;Bulgaria;PAOK Thessaloniki
31;Bertrand Traoré;1;Burkina Faso;AFC Sunderland
32;Frederic Nsabiyumva;1;Burundi;Västerås SK
33;Ryan Isaac Mendes;1;Cabo Verde;Igdir FK
34;Krya Saret;1;Cambodia;Preah Khan Reach Svay Rieng
35;Alphonso Davies;1;Canada;FC Bayern München
36;Dandre Rowe;1;Cayman Islands;Scholars International SC
37;Cherubin Bassé;1;Central African Republic;Red Star Bangui
38;Marius Mouandilmadji;1;Chad;Samsunspor
39;Gabriel Suazo;1;Chile;FC Sevilla
40;Yuning Zhang;1;China PR;Beijing Guoan
41;Po Liang Chen;1;Chinese Taipei;Qingdao West Coast
42;James Rodríguez;1;Colombia;NA
43;Youssouf Mchangama;1;Comoros;Djabal FC Iconi
44;Bérenger Richy Itoua;1;Congo;AS Otohô
45;Chancel Mbemba;1;Congo DR;LOSC Lille
46;Thane Pora Vogel Beal;1;Cook Islands;Tupapa Maraerenga
47;Francisco Calvo;1;Costa Rica;Al-Ettifaq FC
48;Luka Modric;1;Croatia;AC Mailand
49;Luis Javier Paradela Diaz;1;Cuba;Deportivo Saprissa
