name,role,country,club
Sharif Mukhammad,1,Afghanistan,SKA Rostov-na-Donu
Berat Djimsiti,1,Albania,Atalanta BC
Riyad Mahrez,1,Algeria,Al-Ahli SFC
Roy Ledoux,1,American Samoa,Pago Youth
Marc Pujol Pons,1,Andorra,AC Escaldes
Fredy Ribeiro,1,Angola,Bodrum FK
Germain Hughes,1,Anguilla,Roaring Lions FC
Luther Wildin,1,Antigua and Barbuda,Stevenage FC
Lionel Messi,1,Argentina,Inter Miami CF
Esuard Spertsian,1,Armenia,FK Krasnodar
Matthew Robert Lentink,1,Aruba,GOES
Mathew Ryan,1,Australia,UD Levante
David Alaba,1,Austria,Real Madrid
Emin Makhmudov,1,Azerbaijan,Neftchi Baku
Vance Wheaton,1,Bahamas,Westside SC Renegades FC
Sayed Dhiya,1,Bahrain,Al-Khaldiya SC
Jamal Bhuyan,1,Bangladesh,Brothers Union
Andre Applewhaite,1,Barbados,Weymouth Wales
Alexander Martynovich,1,Belarus,Kairat Almaty
Youri Tielemans,1,Belgium,Aston Villa
Steve Mounie,1,Benin,Alanyaspor
Dante Leverock,1,Bermuda,Dandy Town FC
Nima Wangdi,1,Bhutan,Paro FC
Luis Haquin,1,Bolivia,Al-Tai
Edin Dzeko,1,Bosnia and Herzegovina,AC Florenz
Kabelo Seakanyeng,1,Botswana,MAS Fès
Marcos Aoás Corrêa,1,Brazil,Paris Saint-Germain
Tsharne Gallimore,1,British Virgin Islands,Enfield Town
Muhammad Azwan Ali Rahman,1,Brunei Darussalam,DPMM FC
Kiril Despodov,1,Bulgaria,PAOK Thessaloniki
Bertrand Traoré,1,Burkina Faso,AFC Sunderland
Frederic Nsabiyumva,1,Burundi,Västerås SK
Ryan Isaac Mendes,1,Cabo Verde,Igdir FK
Krya Saret,1,Cambodia,Preah Khan Reach Svay Rieng
Alphonso Davies,1,Canada,FC Bayern München
Dandre Rowe,1,Cayman Islands,Scholars International SC
Cherubin Bassé,1,Central African Republic,Red Star Bangui
Marius Mouandilmadji,1,Chad,Samsunspor
Gabriel Suazo,1,Chile,FC Sevilla
Yuning Zhang,1,China PR,Beijing Guoan
