from,to,vote,relationship,year,weight
Sharif Mukhammad,Ousmane Dembélé,5,4,2025,NA
Berat Djimsiti,Ousmane Dembélé,5,4,2025,NA
Riyad Mahrez,Ousmane Dembélé,5,4,2025,NA
Roy Ledoux,Lamine Yamal,5,4,2025,NA
Marc Pujol Pons,Pedri,5,4,2025,NA
Fredy Ribeiro,Ousmane Dembélé,5,4,2025,NA
Germain Hughes,Ousmane Dembélé,5,4,2025,NA
Luther Wildin,Ousmane Dembélé,5,4,2025,NA
Lionel Messi,Ousmane Dembélé,5,4,2025,NA
Esuard Spertsian,Ousmane Dembélé,5,4,2025,NA
Matthew Robert Lentink,Vitinha,5,4,2025,NA
Mathew Ryan,Harry Kane,5,4,2025,NA
David Alaba,Kylian Mbappé,5,2,2025,NA
Emin Makhmudov,Kylian Mbappé,5,4,2025,NA
Vance Wheaton,Ousmane Dembélé,5,4,2025,NA
Sayed Dhiya,Pedri,5,4,2025,NA
Jamal Bhuyan,Vitinha,5,4,2025,NA
Andre Applewhaite,Nuno Mendes,5,4,2025,NA
Alexandr Martynovich,Lamine Yamal,5,4,2025,NA
Youri Tielemans,Ousmane Dembélé,5,4,2025,NA
Steve Mounie,Ousmane Dembélé,5,4,2025,NA
Dante Leverock,Kylian Mbappé,5,4,2025,NA
Nima Wangdi,Nuno Mendes,5,4,2025,NA
Luis Fernando Haquin Lopez,Ousmane Dembélé,5,4,2025,NA
Edin Dzeko,Ousmane Dembélé,5,4,2025,NA
Kabelo Seakanyeng,Achraf Hakimi,5,4,2025,NA
Marcos Aoás Corrêa,Ousmane Dembélé,5,2,2025,NA
Tsharne Gallimore,Ousmane Dembélé,5,4,2025,NA
Muhammad Azwan Ali Rahman,Lamine Yamal,5,4,2025,NA
Kiril Despodov,Ousmane Dembélé,5,4,2025,NA
Bertrand Traoré,Ousmane Dembélé,5,4,2025,NA
Frederic Nsabiyumva,Ousmane Dembélé,5,4,2025,NA
Ryan Mendes,Vitinha,5,4,2025,NA
Krya Saret,Ousmane Dembélé,5,4,2025,NA
Alphonso Davies,Harry Kane,5,2,2025,NA
Dandre Rowe,Lamine Yamal,5,4,2025,NA
Cherubin Bassé,Ousmane Dembélé,5,4,2025,NA
Marius Mouandilmadji,Ousmane Dembélé,5,4,2025,NA
Gabriel Suazo,Ousmane Dembélé,5,4,2025,NA
Yuning Zhang,Kylian Mbappé,5,4,2025,NA
Po Liang Chen,Ousmane Dembélé,5,4,2025,NA
James Rodríguez,Ousmane Dembélé,5,4,2025,NA
Youssouf Mchangama,Achraf Hakimi,5,4,2025,NA
Bérenger Richy Itoua,Achraf Hakimi,5,4,2025,NA
Chancel Mbemba,Ousmane Dembélé,5,4,2025,NA
Thane Beal,Cole Palmer,5,4,2025,NA
Francisco Calvo,Kylian Mbappé,5,4,2025,NA
Luka Modric,Vitinha,5,4,2025,NA
Luis Javier Paradela Diaz,Ousmane Dembélé,5,4,2025,NA
Kostakis Artymatas,Ousmane Dembélé,5,4,2025,NA
Tomas Soucek,Ousmane Dembélé,5,4,2025,NA
Pierre Emile Højbjerg,Ousmane Dembélé,5,4,2025,NA
Idriss Blha,Lamine Yamal,5,4,2025,NA
Travist Joseph,Nuno Mendes,5,4,2025,NA
Jean Carlos López Moscoso,Kylian Mbappé,5,4,2025,NA
