id,role,nationality,club_2025,club_2024,club_2023
Sharif Mukhammad,1,Afghanistan,SKA Rostov-na-Donu,vereinslos,vereinslos
Berat Djimsiti,1,Albania,Atalanta Bergamo,Atalanta Bergamo,Atalanta Bergamo
Riyad Mahrez,1,Algeria,Al-Ahli SFC,Al-Ahli SFC,Manchester City
Roy Ledoux,1,American Samoa,Pago Youth,NA,Pago Youth
Marc Pujol Pons,1,Andorra,AC Escaldes,AC Escaldes,UE Engordany
Fredy Ribeiro,1,Angola,Bodrum FK,NA,Antalyaspor
Germain Hughes,1,Anguilla,Roaring Lions FC,Roaring Lions FC,Roaring Lions FC
Luther Wildin,1,Antigua and Barbuda,Stevenage FC,NA,Stevenage FC
Lionel Messi,1,Argentina,Inter Miami CF,Inter Miami CF,Inter Miami CF
Esuard Spertsian,1,Armenia,FK Krasnodar,NA,FK Krasnodar
Matthew Robert Lentink,1,Aruba,VW GOES,VW GOES,VW GOES
Mathew Ryan,1,Australia,UD Levante,AZ Alkmaar,AZ Alkmaar
David Alaba,1,Austria,Real Madrid,Real Madrid,Real Madrid
Emin Makhmudov,1,Azerbaijan,Neftchi Baku,NA,Neftchi Baku
Vance Wheaton,1,Bahamas,Westside SC Renegades FC,NA,Westside SC Renegades FC
Sayed Dhiya,1,Bahrain,Al-Khaldiya SC,NA,Al-Khaldiya SC
Jamal Bhuyan,1,Bangladesh,Brothers Union,NA,Sheikh Russel KC
Andre Applewhaite,1,Barbados,Weymouth Wales,Weymouth Wales,Weymouth Wales
Alexandr Martynovich,1,Belarus,Kairat Almaty,Rubin Kazan,Rubin Kazan
Youri Tielemans,1,Belgium,Aston Villa,Aston Villa,Aston Villa
Steve Mounie,1,Benin,Alanyaspor,FC Augsburg,Stade Brest 29
Dante Leverock,1,Bermuda,Dandy Town FC,NA,Dandy Town FC
Nima Wangdi,1,Bhutan,Paro FC,Paro FC,Thimpu City FC
Luis Fernando Haquin Lopez,1,Bolivia,Al-Tai,AA Ponte Preta,Deportivo Cali
Edin Dzeko,1,Bosnia and Herzegovina,AC Florenz,Fenerbahce,Fenerbahce
