from;to;weight;relationship;year;;
Sharif Mukhammad;Ousmane Dembélé;5;4;2025;;
Berat Djimsiti;Ousmane Dembélé;5;4;2025;;
Riyad Mahrez;Ousmane Dembélé;5;4;2025;;
Roy Ledoux;  Lamine Yamal ;5;4;2025;;
Marc Pujol Pons;    Pedri ;5;4;2025;;
Fredy Ribeiro;Ousmane Dembélé;5;4;2025;;
Germain Hughes;Ousmane Dembélé;5;4;2025;;
Luther Wildin;Ousmane Dembélé;5;4;2025;;
Lionel Messi;Ousmane Dembélé;5;4;2025;;
Esuard Spertsian;Ousmane Dembélé;5;4;2025;;
Matthew Robert Lentink;    Vitinha ;5;4;2025;;
Mathew Ryan;   Harry Kane ;5;4;2025;;
David Alaba;  Kylian Mbappé ;5;2;2025;;
Emin Makhmudov;  Kylian Mbappé ;5;4;2025;;
Vance Wheaton;Ousmane Dembélé;5;4;2025;;
Sayed Dhiya;    Pedri ;5;4;2025;;
Jamal Bhuyan;    Vitinha ;5;4;2025;;
Andre Applewhaite;  Nuno Mendes ;5;4;2025;;
Alexander Martynovich;  Lamine Yamal ;5;4;2025;;
Youri Tielemans;Ousmane Dembélé;5;4;2025;;
Steve Mounie;Ousmane Dembélé;5;4;2025;;
Dante Leverock;  Kylian Mbappé ;5;4;2025;;
Nima Wangdi;  Nuno Mendes ;5;4;2025;;
Luis Haquin;Ousmane Dembélé;5;4;2025;;
Edin Dzeko;Ousmane Dembélé;5;4;2025;;
Kabelo Seakanyeng;  Achraf Hakimi ;5;4;2025;;
Marcos Aoás Corrêa;Ousmane Dembélé;5;2;2025;;
Tsharne Gallimore;Ousmane Dembélé;5;4;2025;;
Muhammad Azwan Ali Rahman;  Lamine Yamal ;5;4;2025;;
Kiril Despodov;Ousmane Dembélé;5;4;2025;;
Bertrand Traoré;Ousmane Dembélé;5;4;2025;;
Frederic Nsabiyumva;Ousmane Dembélé;5;4;2025;;
Ryan Isaac Mendes;    Vitinha ;5;4;2025;;
Krya Saret;Ousmane Dembélé;5;4;2025;;
Alphonso Davies;  Harry Kane ;5;2;2025;;
Dandre Rowe;  Lamine Yamal ;5;4;2025;;
Cherubin Bassé;Ousmane Dembélé;5;4;2025;;
Marius Mouandilmadji;Ousmane Dembélé;5;4;2025;;
Gabriel Suazo;Ousmane Dembélé;5;4;2025;;
Yuning Zhang; Kylian Mbappé ;5;4;2025;;
Po Liang Chen;Ousmane Dembélé;5;4;2025;;
James Rodríguez;Ousmane Dembélé;5;4;2025;;
Youssouf Mchangama;  Achraf Hakimi ;5;4;2025;;
Bérenger Richy Itoua;  Achraf Hakimi ;5;4;2025;;
Chancel Mbemba;Ousmane Dembélé;5;4;2025;;
Thane Pora Vogel Beal;  Cole Palmer ;5;4;2025;;
Francisco Calvo; Kylian Mbappé ;5;4;2025;;
Luka Modric;    Vitinha ;5;4;2025;;
Luis Javier Paradela Diaz;Ousmane Dembélé;5;4;2025;;
Kostakis Artymatas;Ousmane Dembélé;5;4;2025;;
Tomas Soucek;Ousmane Dembélé;5;4;2025;;
Pierre Emile Højbjerg;Ousmane Dembélé;5;4;2025;;
Idriss Blha;  Lamine Yamal ;5;4;2025;;
Travist Joseph;  Nuno Mendes ;5;4;2025;;
Jean Carlos López Mocoso; Kylian Mbappé ;5;4;2025;;
Enner Valencia Lastra;Ousmane Dembélé;5;4;2025;;
Mohamed Salah;  Achraf Hakimi ;5;4;2025;;
Julio Sibrian;Ousmane Dembélé;5;4;2025;;
Harry Kane;Ousmane Dembélé;5;4;2025;;
Karol Mets;Ousmane Dembélé;5;4;2025;;
Lindo Thembinkosi Mkhonta;  Achraf Hakimi ;5;4;2025;;
Hayder Sherefa;Ousmane Dembélé;5;4;2025;;
Hallur Hansson;Ousmane Dembélé;5;4;2025;;
Roy Krishna;Ousmane Dembélé;5;4;2025;;
Lukas Hradecky;Vitinha;5;4;2025;;
Bruno Ecuele Manga;  Achraf Hakimi ;5;4;2025;;
Omar Colley;Ousmane Dembélé;5;4;2025;;
Guram Kashia;Ousmane Dembélé;5;4;2025;;
Joshua Kimmich;    Vitinha ;5;4;2025;;
Jordan Ayew;  Cole Palmer ;5;4;2025;;
Graeme Torrilla;   Raphinha ;5;4;2025;;
Anastasios Bakasetas;Ousmane Dembélé;5;4;2025;;
Regan Charles-Cook;Ousmane Dembélé;5;4;2025;;
Jason Ryan Quitugua Cunliffe;Ousmane Dembélé;5;4;2025;;
José Carlos Pinto Samayoa;Ousmane Dembélé;5;4;2025;;
Issiaga Sylla; Kylian Mbappé ;5;4;2025;;
Jorge Nogueira;  Nuno Mendes ;5;4;2025;;
Antony Lozano Colon;    Vitinha ;5;4;2025;;
Hung Fai Yaap;Ousmane Dembélé;5;4;2025;;
Dominik Szoboszlai; Mohamed Salah ;5;2;2025;;
Orri Óskarsson; Kylian Mbappé ;5;4;2025;;
Gurpreet Singh Sandhu;Ousmane Dembélé;5;4;2025;;
Jay Idzes;Ousmane Dembélé;5;4;2025;;
Alireza Jahanbakhsh;Ousmane Dembélé;5;4;2025;;
Jalal Hasan Hachim; Kylian Mbappé ;5;4;2025;;
Eliezer Dasa;    Vitinha ;5;4;2025;;
Gianluigi Donnarumma;Ousmane Dembélé;5;2;2025;;
Wataru Endo; Mohamed Salah ;5;2;2025;;
Ehsan Haddad;  Achraf Hakimi ;5;4;2025;;
Nuraly Alip;Ousmane Dembélé;5;4;2025;;
Michael Olunga Ogada;  Achraf Hakimi ;5;4;2025;;
Jang Kuk Chol; Kylian Mbappé ;5;4;2025;;
Heung Min Son;Ousmane Dembélé;5;4;2025;;
Amir Rrahmani;Ousmane Dembélé;5;4;2025;;
Khaled Alrashidi;Ousmane Dembélé;5;4;2025;;
Kichin Valerii;  Nuno Mendes ;5;4;2025;;
Bounphachan Bounkong; Kylian Mbappé ;5;4;2025;;
Kristers Tobers;Ousmane Dembélé;5;4;2025;;
Mohamad Haidar;Ousmane Dembélé;5;4;2025;;
Sekhoane Benedict Moerane;Ousmane Dembélé;5;4;2025;;
Murad Al-Wuheeshi;  Kylian Mbappé ;5;4;2025;;
Nicolas Hasler;  Lamine Yamal ;5;4;2025;;
Fedor Cernych;Ousmane Dembélé;5;4;2025;;
Laurent Jans;    Vitinha ;5;4;2025;;
Man Chan;  Achraf Hakimi ;5;4;2025;;
Rayan Raveloson;Ousmane Dembélé;5;4;2025;;
Richard Mbulu;Ousmane Dembélé;5;4;2025;;
Matthew Davies;   Harry Kane ;5;4;2025;;
Samooh Ali;Ousmane Dembélé;5;4;2025;;
Yves Bissouma;Ousmane Dembélé;5;4;2025;;
Matthew Guillaumier;Ousmane Dembélé;5;4;2025;;
Aly Abeid;Ousmane Dembélé;5;4;2025;;
Lindsay Rose;    Vitinha ;5;4;2025;;
Edson Omar Alvarez Velazquez;Ousmane Dembélé;5;4;2025;;
Rata Vadim;  Lamine Yamal ;5;4;2025;;
Tsendayush Khurelbaatar;  Kylian Mbappé ;5;4;2025;;
Stevan Jovetic;  Lamine Yamal ;5;4;2025;;
Brandon Comley;Ousmane Dembélé;5;4;2025;;
Achraf Hakimi;  Kylian Mbappé ;5;4;2025;;
Elias Pelembe;  Lamine Yamal ;5;4;2025;;
Mg Mg Lwin;Ousmane Dembélé;5;4;2025;;
Riaan Hanamub;Ousmane Dembélé;5;4;2025;;
Kiran Chemjong;Ousmane Dembélé;5;4;2025;;
Virgil Van Dijk; Mohamed Salah ;5;2;2025;;
Morgan Mathelon;Ousmane Dembélé;5;4;2025;;
Chris Wood;Ousmane Dembélé;5;4;2025;;
Juan Barrera;Ousmane Dembélé;5;4;2025;;
Youssouf Oumarou Aliou;  Achraf Hakimi ;5;4;2025;;
William Ekong;Ousmane Dembélé;5;4;2025;;
Enis Bardhi;Ousmane Dembélé;5;4;2025;;
Conor Bradley;  Lamine Yamal ;5;4;2025;;
Martin Odegaard;Ousmane Dembélé;5;4;2025;;
Fayiz Alrushaidi;Kylian Mbappé;5;4;2025;;
Abdullah Iqbal;Ousmane Dembélé;5;4;2025;;
Musab Battat;  Achraf Hakimi ;5;4;2025;;
Aníbal Godoy;Ousmane Dembélé;5;4;2025;;
Raymond Gunemba; Mohamed Salah ;5;4;2025;;
Gustavo Gomez;Ousmane Dembélé;5;4;2025;;
Pedro Gallese; Kylian Mbappé ;5;4;2025;;
Amani Aguinaldo;Ousmane Dembélé;5;4;2025;;
Robert Lewandowski;  Lamine Yamal ;5;2;2025;;
Bernardo Silva;    Vitinha ;5;1;2025;;
Leandro Antonetti;Ousmane Dembélé;5;4;2025;;
Hassan Alhaydos;  Achraf Hakimi ;5;4;2025;;
Nathan Collins;Ousmane Dembélé;5;4;2025;;
Ianis Hagi;  Lamine Yamal ;5;4;2025;;
Aleksandr Golovin; Kylian Mbappé ;5;4;2025;;
Bizimana Djihad;  Achraf Hakimi ;5;4;2025;;
Andrew Setefano; Mohamed Salah ;5;4;2025;;
Matteo Vitaioli;  Lamine Yamal ;5;4;2025;;
Joel Neves;  Achraf Hakimi ;5;4;2025;;
Salem Aldawsari;Ousmane Dembélé;5;4;2025;;
Andrew Robertson; Mohamed Salah ;5;2;2025;;
Kalidou Koulibaly;Ousmane Dembélé;5;4;2025;;
Aleksandar Mitrovic;Ousmane Dembélé;5;4;2025;;
Elie Nelson Jr Sopha;   Raphinha ;5;4;2025;;
Mustapha Bundu;Ousmane Dembélé;5;4;2025;;
Hariss Harun;Ousmane Dembélé;5;4;2025;;
Milan Škriniar;Ousmane Dembélé;5;4;2025;;
Jan Oblak;Ousmane Dembélé;5;4;2025;;
Javin Alick;  Lamine Yamal ;5;4;2025;;
Abdulsamed Abdullahi;Ousmane Dembélé;5;4;2025;;
